Country,deaths
Afghanistan,720
Algeria,10
Angola,22000
Argentina,0
Armenia,0
Azerbaijan,0
Bangladesh,6100
Belize,0
Benin,7400
Bhutan,50
Bolivia,50
Botswana,100
Brazil,370
BurkinaFaso,39000
Burundi,8900
Ivory Coast,33000
CaboVerde,0
Cambodia,3600
Cameroon,20000
Central African Republic,6400
Chad,6400
China,50
Colombia,380
Comoros,280
Congo,2800
Costa Rica,0
North Korea,0
Democratic Republic of the Congo,100000
Djibouti,50
Dominican Republic,10
Ecuador,0
ElSalvador,0
Equatorial Guinea,680
Eritrea,130
Ethiopia,16000
Gabon,460
Gambia,740
Georgia,0
Ghana,19000
Guatemala,50
Guinea,15000
Guinea-Bissau,1600
Guyana,100
Haiti,510
Honduras,50
India,36000
Indonesia,4400
Iran,10
Iraq,10
Kenya,13000
Kyrgyzstan,0
Laos,630
Liberia,6700
Madagascar,3900
Malawi,16000
Malaysia,50
Mali,27000
Mauritania,880
Mexico,10
Mozambique,40000
Myanmar,3100
Namibia,260
Nepal,100
Nicaragua,50
Niger,15000
Nigeria,210000
Oman,No data
Pakistan,3800
Panama,10
Papua New Guinea,3100
Paraguay,0
Peru,50
Philippines,230
South Korea,0
Russia,No data
Rwanda,5200
SaoTomeandPrincipe,110
Saudi Arabia,0
Senegal,6500
Sierra Leone,12000
Solomon Islands,120
Somalia,1800
South Africa,490
South Sudan,6100
SriLanka,100
Sudan,6300
Suriname,50
Swaziland,10
Syria,No data
Tajikistan,0
Thailand,810
Timor-Leste,490
Togo,6900
Turkey,0
Turkmenistan,0
Uganda,49000
Tanzania,30000
Uzbekistan,0
Vanuatu,50
Venezuela,100
Vietnam,430
Yemen,1900
Zambia,14000
Zimbabwe,2500
Chile, No data
Japan, No data
Australia, No data
New Zealand, No data
United States, No data
Canada, No data
Greenland, No data
Norway, No data
Iceland, No data
